Year,Month,jobs
1989,May,3143.0
1990,May,3435.0
1991,May,3096.0
1992,May,3119.0
1993,May,3065.0
1994,May,3027.0
1995,May,2959.0
1996,May,2887.0
1997,May,2813.0
1998,May,2762.0
1999,May,2764.0
2000,May,3244.0
2001,May,2758.0
2002,May,2768.0
2003,May,2753.0
2004,May,2730.0
2005,May,2734.0
2006,May,2734.0
2007,May,2733.0
2008,May,2757.0
2009,May,2860.0
2010,May,3416.0
2011,May,2871.0
2012,May,2823.0
2013,May,2775.0
2014,May,2727.0
2015,May,2752.0
2016,May,2791.0
2017,May,2807.0
1939,Jun,948.0
1940,Jun,1020.0
1941,Jun,1381.0
1942,Jun,2205.0
1943,Jun,3128.0
1944,Jun,3043.0
1945,Jun,3066.0
1946,Jun,2370.0
1947,Jun,1946.0
1948,Jun,1942.0
1949,Jun,2025.0
1950,Jun,1914.0
1951,Jun,2436.0
1952,Jun,2548.0
1953,Jun,2428.0
1954,Jun,2282.0
1955,Jun,2302.0
1956,Jun,2312.0
1957,Jun,2328.0
1958,Jun,2297.0
1959,Jun,2334.0
1960,Jun,2353.0
1961,Jun,2388.0
1962,Jun,2465.0
1963,Jun,2473.0
1964,Jun,2446.0
1965,Jun,2470.0
1966,Jun,2688.0
1967,Jun,2860.0
1968,Jun,2908.0
1969,Jun,2928.0
1970,Jun,2867.0
1971,Jun,2827.0
1972,Jun,2814.0
1973,Jun,2790.0
1974,Jun,2859.0
1975,Jun,2871.0
1976,Jun,2850.0
1977,Jun,2853.0
1978,Jun,2886.0
1979,Jun,2882.0
1980,Jun,3076.0
1981,Jun,2908.0
1982,Jun,2873.0
1983,Jun,2905.0
1984,Jun,2941.0
1985,Jun,3019.0
1986,Jun,3027.0
1987,Jun,3085.0
1988,Jun,3099.0
1989,Jun,3137.0
1990,Jun,3332.0
1991,Jun,3103.0
1992,Jun,3117.0
1993,Jun,3067.0
1994,Jun,3017.0
1995,Jun,2959.0
1996,Jun,2884.0
1997,Jun,2815.0
1998,Jun,2762.0
1999,Jun,2766.0
2000,Jun,3004.0
2001,Jun,2780.0
2002,Jun,2768.0
2003,Jun,2763.0
2004,Jun,2730.0
2005,Jun,2733.0
2006,Jun,2736.0
2007,Jun,2729.0
2008,Jun,2759.0
2009,Jun,2814.0
2010,Jun,3193.0
2011,Jun,2860.0
2012,Jun,2824.0
2013,Jun,2771.0
2014,Jun,2731.0
2015,Jun,2755.0
2016,Jun,2796.0
2017,Jun,2805.0
1939,Jul,954.0
1940,Jul,1037.0
1941,Jul,1418.0
1942,Jul,2332.0
1943,Jul,3106.0
1944,Jul,3070.0
1945,Jul,3053.0
1946,Jul,2353.0
1947,Jul,1909.0
1948,Jul,1964.0
1949,Jul,2027.0
1950,Jul,1947.0
1951,Jul,2466.0
1952,Jul,2556.0
1953,Jul,2406.0
1954,Jul,2278.0
1955,Jul,2302.0
1956,Jul,2319.0
1957,Jul,2328.0
1958,Jul,2298.0
1959,Jul,2333.0
1960,Jul,2346.0
1961,Jul,2397.0
1962,Jul,2468.0
1963,Jul,2470.0
1964,Jul,2441.0
1965,Jul,2486.0
1966,Jul,2705.0
1967,Jul,2866.0
1968,Jul,2909.0
1969,Jul,2909.0
1970,Jul,2838.0
1971,Jul,2837.0
1972,Jul,2787.0
1973,Jul,2761.0
1974,Jul,2869.0
1975,Jul,2885.0
1976,Jul,2854.0
1977,Jul,2852.0
1978,Jul,2892.0
1979,Jul,2884.0
1980,Jul,3023.0
1981,Jul,2912.0
1982,Jul,2876.0
1983,Jul,2908.0
1984,Jul,2945.0
1985,Jul,3029.0
1986,Jul,3023.0
1987,Jul,3089.0
1988,Jul,3104.0
1989,Jul,3135.0
1990,Jul,3274.0
1991,Jul,3133.0
1992,Jul,3117.0
1993,Jul,3071.0
1994,Jul,3009.0
1995,Jul,2949.0
1996,Jul,2877.0
1997,Jul,2778.0
1998,Jul,2771.0
1999,Jul,2765.0
2000,Jul,2942.0
2001,Jul,2783.0
2002,Jul,2757.0
2003,Jul,2760.0
2004,Jul,2729.0
